1-methyladenosine,1MA
2-methylthio- N6-hydroxynorvalyl carbamoyladenosine,26A
2-methyladenosine,2MA
2'O-ribosylphosphate adenosine,2RA
N6-methyl-N6-threonylcarbamoyladenosine,66A
N6-acetyladenosine,6AA
N6-glycinylcarbamoyladenosine,6GA
N6-isopentenyladenosine,6IA
N6-methyladenosine,6MA
N6-threonylcarbamoyladenosine,6TA
"N6,N6-dimethyladenosine",DMA
N6-(cis-hydroxyisopentenyl)adenosine,HIA
N6-hydroxynorvalylcarbamoyladenosine,HNA
"1,2'O-dimethyladenosine",M2A
"N6,2'O-dimethyladenosine",MMA
2'O-methyladenosine,MRA
"N6,N6,O-2'trimethyladenosine",MTA
2-methylthio- N6-(cis-hydroxyisopentenyl) adenosine,SIA
2-methylthio- N6-methyladenosine,SMA
2-methylthio- N6-isopentenyladenosine,SPA
2-methylthio- N6-threonyl carbamoyladenosine,STA
2-thiocytidine,2SC
3-methylcytidine,3MC
N4-acetylcytidine,4AC
N4-methylcytidine,4MC
5-formylcytidine,5FC
5-methylcytidine,5MC
5-hydroxymethylcytidine,HMC
lysidine,K2C
N4-acetyl-2 'O-methylcytidine,MAC
5-formyl-2 'O-methylcytidine,MFC
"5,2'O-dimethylcytidine",MMC
2'O-methylcytidine,MRC
"N4,2'O-dimethylcytidine",M4C
"N4,N4,2'O-trimethylcytidine",MTC
1-methylguanosine,1MG
"N2,7-dimethylguanosine",27G
N2-methylguanosine,2MG
2'O-ribosylphosphate guanosine,2RG
7-methylguanosine,7MG
under modified hydroxywybutosine,BUG
7-aminomethyl-7-deazaguanosine,DAG
7-cyano-7-deazaguanosine,DCG
"N2,N2-dimethylguanosine",DMG
4-demethylwyosine,DWG
epoxyqueuosine,EQG
hydroxywybutosine,HWG
isowyosine,IWG
"N2,7,2'O-trimethylguanosine",M7G
"N2,2'O-dimethylguanosine",MMG
"1,2'O-dimethylguanosine",M1G
2'O-methylguanosine,MRG
"N2,N2,2'O-trimethylguanosine",MTG
"N2,N2,7-trimethylguanosine",N2G
peroxywybutosine,PBG
galactosyl-queuosine,QGG
mannosyl-queuosine,QMG
queuosine,QUG
archaeosine,RCG
wybutosine,WBG
methylwyosine,WMG
wyosine,WYG
2-thiouridine,2SU
3-(3-amino-3-carboxypropyl)uridine,3AU
3-methyluridine,3MU
4-thiouridine,4SU
5-methyl-2-thiouridine,52U
5-methylaminomethyluridine,5AU
5-carboxymethyluridine,5CU
5-carboxymethylaminomethyluridine,5DU
5-hydroxyuridine,5HU
5-methyluridine,5MU
5-taurinomethyluridine,5TU
5-carbamoylmethyluridine,BCU
5-(carboxyhydroxymethyl)uridine methyl ester,CMU
dihydrouridine,DHU
5-methyldihydrouridine,DMU
5-methylaminomethyl-2-thiouridine,ESU
5-(carboxyhydroxymethyl)uridine,HCU
5-(isopentenylaminomethyl)uridine,IAU
5-(isopentenylaminomethyl)-2-thiouridine,ISU
"3,2'O-dimethyluridine",M3U
5-carboxymethylaminomethyl-2 'O-methyluridine,MAU
5-carbamoylmethyl-2 'O-methyluridine,MCU
5-methoxycarbonylmethyl-2 'O-methyluridine,MEU
5-(isopentenylaminomethyl)-2 'O-methyluridine,MIU
"5,2'O-dimethyluridine",MMU
2'O-methyluridine,MRU
2-thio-2'O-methyluridine,MSU
uridine 5-oxyacetic acid,OAU
5-methoxycarbonylmethyluridine,OCU
uridine 5-oxyacetic acid methyl ester,OEU
5-methoxyuridine,OMU
5-aminomethyl-2-thiouridine,SAU
5-carboxymethylaminomethyl-2-thiouridine,SCU
5-methylaminomethyl-2-selenouridine,SEU
5-methoxycarbonylmethyl-2-thiouridine,SMU
5-taurinomethyl-2-thiouridine,STU
pseudouridine,PSU
1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine,13P
1-methylpseudouridine,1MP
3-methylpseudouridine,3MP
2'O-methylpseudouridine,MRP
inosine,INO
1-methylinosine,1MI
"1,2'O-dimethylinosine",MMI
2'-O-methylinosine,MRI